Date,Asset,OriginalShorttext,PMType,Cost,RunningTime,MajorSystem,Part,Action,Variant,FM,Location,Comments,FuncLocation,SuspSugg,Rule,
01/07/2004,A,BUCKET WON'T OPEN,PM01,183.05,NA,Bucket,NA,NA,NA,NA,NA,NA,BUCKET,0,Rule_1_3_5,
20/03/2005,A,L/H BUCKET CYL LEAKING.,PM01,407.4,262,Bucket_Hydraulic Cylinders,Cylinder_Tilt,NA,NA,Leak,Left,NA,CYLINDER BOOM,0,Rule_1_3_5_19_115_214_434_509,
05/05/2006,A,SWAP BUCKET,PM01,0,411,Bucket,NA,Replace,4,NA,NA,NA,BUCKET,0,Rule_1_3_5_399,
11/07/2006,A,FIT BUCKET TOOTH,PM01,0,67,Bucket,GET,Replace,Install,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_8_116_132_385,
10/11/2006,A,REFIT BUCKET TOOTH,PM01,1157.27,122,Bucket,GET,Modify_Replace,Install,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_8_116_132_365_385,
21/04/2008,A,REPAIR LOOSE BUCKET CYLINDER,PM01,0,528,Bucket_Hydraulic Cylinders,Cylinder_Tilt,Repair,1,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_19_115_214_366_439,
02/10/2008,A,REPLACE 2 BUCKET TEETH,PM01,1256.62,164,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_9_117_133_392_393,
12/07/2001,B,REPLACE MISSING LIP TIPS,PM01,1281.36,NA,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Teeth,0,Rule_1_3_15_78_119_383_384_431,
19/07/2001,B,REPLACE LIP,PM01,1251.52,7,Bucket,NA,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_78_383_384,
01/10/2001,B,rebuild lip #3,PM01,0,74,Bucket,NA,Repair,5,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_362,
10/10/2001,B,REPLACE BUCKET TEETH.,PM01,681.1,9,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_5_9_115_131_383_384,
29/10/2001,B,Repair RH120 lip at P&H,PM01,22611.06,19,Bucket,NA,Repair,1,NA,Right,Positional Term,Bucket Clam (Lip),0,Rule_1_3_78_357_509_514,
06/11/2001,B,replace missing tip,PM01,1239.29,8,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384_431,
13/11/2001,B,replace missing tip& adaptor.,PM01,221.15,7,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,Missing / Loose,NA,NA,Implements,0,Rule_1_3_15_16_80_119_239_383_384_431,
16/11/2001,B,Replace centre and LH lip shrouds,PM01,2118.87,3,Bucket,Wear Items,Replace,2V,NA,Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_499,
15/01/2002,B,OIL LEAK ON BUCKET....,PM01,0,60,Bucket_Hydraulic System,NA,NA,NA,Leak,NA,NA,O&K RH120C,0,Rule_1_3_5_52_425,
06/02/2002,B,REPLACE ADAPTOR LOCK,PM01,346.47,22,Bucket,Adaptor_Lock_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_16_80_163_239_383_384,
